Year,Week Reported,County,State,Positive Cases
2008,33,San Diego,California,1
2008,34,San Diego,California,1
2008,35,San Diego,California,4
2008,36,San Diego,California,1
2008,37,San Diego,California,1
2008,38,San Diego,California,2
2008,39,San Diego,California,4
2008,40,San Diego,California,4
2008,41,San Diego,California,1
2008,49,San Diego,California,2
2008,51,San Diego,California,1
2008,53,San Diego,California,10
2008,29,San Joaquin,California,1
2008,33,San Joaquin,California,1
2008,34,San Joaquin,California,3
2008,35,San Joaquin,California,1
2008,37,San Joaquin,California,2
2008,38,San Joaquin,California,1
2008,40,San Joaquin,California,1
2008,41,San Joaquin,California,1
2008,45,San Joaquin,California,1
2008,53,Santa Barbara,California,1
2008,37,Santa Clara,California,1
2008,35,Shasta,California,1
2008,33,Solano,California,1
2008,27,Stanislaus,California,2
2008,30,Stanislaus,California,1
2008,31,Stanislaus,California,1
2008,32,Stanislaus,California,1
2008,35,Stanislaus,California,2
2008,36,Stanislaus,California,3
2008,37,Stanislaus,California,1
2008,38,Stanislaus,California,2
2008,39,Stanislaus,California,3
2008,41,Stanislaus,California,1
2008,36,Tehama,California,1
2008,46,Tehama,California,3
2008,25,Tulare,California,1
2008,38,Tulare,California,1
2008,46,Tulare,California,2
2008,53,Tulare,California,1
2008,37,Yolo,California,1
2009,36,Butte,California,1
2009,41,Butte,California,1
2009,31,Contra Costa,California,1
2009,42,Contra Costa,California,4
2009,37,El Dorado,California,1
2009,32,Fresno,California,1
2009,34,Fresno,California,2
2009,35,Fresno,California,2
2009,37,Fresno,California,2
2009,38,Fresno,California,2
2009,39,Fresno,California,3
2009,40,Fresno,California,1
2009,31,Kern,California,2
2009,32,Kern,California,1
2009,34,Kern,California,1
2009,35,Kern,California,4
2009,36,Kern,California,2
2009,37,Kern,California,1
2009,40,Kern,California,1
2009,41,Kern,California,3
2009,42,Kern,California,1
2009,44,Kern,California,2
2009,50,Kern,California,1
2009,32,Kings,California,1
2009,37,Kings,California,1
2009,38,Kings,California,1
2009,32,Los Angeles,California,2
2009,34,Los Angeles,California,3
2009,36,Los Angeles,California,2
2009,37,Los Angeles,California,2
2009,39,Los Angeles,California,2
2009,40,Los Angeles,California,2
2009,41,Los Angeles,California,1
2009,42,Los Angeles,California,4
2009,43,Los Angeles,California,1
2009,45,Los Angeles,California,1
2009,46,Madera,California,1
2009,37,Merced,California,1
2009,52,Merced,California,3
2009,49,Monterey,California,1
2009,30,Orange,California,1
2009,38,Orange,California,2
2009,39,Orange,California,1
2009,38,Riverside,California,1
2009,43,Riverside,California,1
2009,44,Riverside,California,1
2009,39,San Bernardino,California,1
2009,52,San Bernardino,California,1
2009,29,San Diego,California,1
2009,34,San Diego,California,1
2009,40,San Diego,California,1
2009,41,San Diego,California,1
2009,36,San Joaquin,California,1
2009,37,San Joaquin,California,1
2009,38,San Joaquin,California,2
2009,39,San Joaquin,California,1
2009,43,San Joaquin,California,1
2009,45,San Joaquin,California,1
2009,48,San Joaquin,California,1
2009,51,San Joaquin,California,1
2009,52,San Joaquin,California,1
2009,34,Stanislaus,California,2
2009,35,Stanislaus,California,1
2009,36,Stanislaus,California,2
2009,37,Stanislaus,California,4
2009,38,Stanislaus,California,2
2009,39,Stanislaus,California,1
2009,43,Stanislaus,California,1
2009,40,Tulare,California,4
2009,38,Yolo,California,2
2009,43,Yuba,California,1
2010,43,Alameda,California,1
2010,33,Butte,California,1
2010,40,Contra Costa,California,3
2010,49,Contra Costa,California,1
2010,30,Fresno,California,2
2010,33,Fresno,California,2
2010,34,Fresno,California,4
2010,35,Fresno,California,3
2010,37,Fresno,California,5
2010,38,Fresno,California,1
2010,39,Fresno,California,3
2010,40,Fresno,California,1
2010,47,Fresno,California,1
2010,53,Fresno,California,1
2010,39,Glenn,California,2
